,name,CHAL1_ans,CHAL1_txt,Primary cycle code,CHAL1_con,CHAL1_lik,CHAL2_ans,CHAL2_txt,Primary cycle code,CHAL2_con,CHAL2_lik
827,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,the graph shows me that from 2024 to 2030 heavy rainfall activity will remain the same with high emissions and increase slightly with low emissions and this option will maintain protection until the year 2079,cost benefit analysis,extremely confident,exceptionally unlikely,yes,The graph shows me that with high emissions and low emissions heavy rainfall will increase in the current year compared to ten years ago ,increase in rainfall,extremely confident,virtually certain
829,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,Nothing from the graph helped me with that answer. It’s just a wise choice.,logical choice,extremely confident,about as likely as not,yes,I chose that option become protection is what everyone needs. The graph helps nothing.,to be prepared and protect,moderately confident,about as likely as not
838,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,It seemed most logical ,logical choice,moderately confident,very likely,yes,It’s the best choice. ,logical choice,very confident,about as likely as not
839,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,I just think it’s the best thing to do ,logical choice,moderately confident,very likely,no,It sounded like the right option,feels right,extremely confident,about as likely as not
847,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),"Based on the graph, I feel it is unlikely that 120 heavyrainfall events will happen in the alotted time",amount of rain,very confident,virtually certain,yes,"Averages are around or exceed 1.9 inches, causing rampant flooding damages",based on average,very confident,virtually certain
849,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,Best options for the best cost.,best economic choice,very confident,very likely,yes,Smarter choice to keep my stuff safe,to be prepared and protect,moderately confident,very likely
866,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,i guessed,I don't know,extremely confident,about as likely as not,yes,i guessed ,feels right,very confident,very unlikely
874,Area_Freq,do nothing (protect against 0 heavy rainfall events per year),"Itsw not really the chart , it s the cost of doing ",cost effective,moderately confident,very likely,yes,flood insurance works,to be prepared and protect,very confident,virtually certain
876,Area_Freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,I select correct option,feels right,extremely confident,very likely,yes,it is most necessary,to be prepared and protect,extremely confident,virtually certain
878,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,To protect me and my family against the 4 heavy rainfall events.,protection of home and family,very confident,very likely,yes,It would be necessary,to be prepared and protect,very confident,very likely
881,Area_Freq,do nothing (protect against 0 heavy rainfall events per year),no thoughts or comments come to mind ,no comment,not very confident,likely,no,it's too expensive ,too expensive,not at all confident,about as likely as not
885,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Because we need a sustainable and effective plan,to be prepared and protect,very confident,very likely,yes,Because it is very effective and useful,to be prepared and protect,very confident,virtually certain
886,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,I'm basing everything up off the average and the highs and lows off the graphic that's all I can go off of,based on emissions scenario(s)/ projections,moderately confident,about as likely as not,yes,The graphics is pretty much self-explanatory is showing the highs and the lows,based on the graph,moderately confident,very likely
890,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),The rate of rainfall compared to the longevity of the pavement.,cost benefit analysis,very confident,very likely,yes,It is safe to buy the insurance with the increase in rain.,increase in rainfall,very confident,likely
891,Area_Freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,The total of the rainfall ,amount of rain,very confident,very likely,yes,The heavy rain totals,high amount of rain,very confident,virtually certain
892,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Because there is a substantial increase of rain and it would be cost effective to pave it,cost benefit analysis,extremely confident,virtually certain,yes,shows the rain increase over the years,increase in rainfall,extremely confident,virtually certain
900,Area_Freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,The cost with the number of period treatments are sufficient and steady. ,cost effective,very confident,very likely,yes,Better to be covered before an incident occurs then afterwards.,safe than sorry,very confident,likely
